"Localidade";"Ano";"Densidade Demográfica (hab/km²)";"Crimes de Estupro ";"Crimes de Roubo "
"Abatiá";"2021";"32,29";"3";"6"
"Adrianópolis";"2021";"4,32";"4";"-"
"Agudos do Sul";"2021";"49,87";"5";"18"
"Almirante Tamandaré";"2021";"625,95";"54";"272"
"Altamira do Paraná";"2021";"3,68";"2";"3"
"Alto Paraíso";"2021";"2,52";"-";"3"
"Alto Paraná";"2021";"36,65";"4";"23"
"Alto Piquiri";"2021";"21,68";"7";"4"
"Altônia";"2021";"30,61";"7";"3"
"Alvorada do Sul";"2021";"27,13";"3";"9"
"Amaporã";"2021";"16,68";"2";"3"
"Ampére";"2021";"65,29";"18";"4"
"Anahy";"2021";"26,39";"1";"1"
"Andirá";"2021";"84,88";"5";"41"
"Ângulo";"2021";"27,74";"3";"3"
"Antonina";"2021";"21,31";"10";"26"
"Antônio Olinto";"2021";"15,90";"3";"6"
"Apucarana";"2021";"246,73";"59";"259"
"Arapongas";"2021";"330,79";"50";"137"
"Arapoti";"2021";"20,87";"25";"45"
"Arapuã";"2021";"13,56";"1";"2"
"Araruna";"2021";"28,40";"3";"14"
"Araucária";"2021";"315,99";"95";"528"
"Ariranha do Ivaí";"2021";"8,42";"3";"-"
"Assaí";"2021";"33,48";"6";"15"
"Assis Chateaubriand";"2021";"34,05";"9";"23"
"Astorga";"2021";"60,31";"4";"30"
"Atalaia";"2021";"28,20";"-";"5"
"Balsa Nova";"2021";"38,08";"14";"32"
"Bandeirantes";"2021";"69,63";"8";"41"
"Barbosa Ferraz";"2021";"21,11";"13";"5"
"Barra do Jacaré";"2021";"24,05";"2";"2"
"Barracão";"2021";"62,74";"4";"3"
"Bela Vista da Caroba";"2021";"22,98";"2";"1"
"Bela Vista do Paraíso";"2021";"62,73";"9";"15"
"Bituruna";"2021";"13,26";"15";"19"
"Boa Esperança";"2021";"13,24";"1";"3"
"Boa Esperança do Iguaçu";"2021";"16,14";"-";"-"
"Boa Ventura de São Roque";"2021";"10,21";"7";"-"
"Boa Vista da Aparecida";"2021";"28,31";"6";"2"
"Bocaiúva do Sul";"2021";"16,38";"14";"34"
"Bom Jesus do Sul";"2021";"19,62";"3";"3"
"Bom Sucesso";"2021";"22,09";"1";"6"
"Bom Sucesso do Sul";"2021";"16,47";"6";"-"
"Borrazópolis";"2021";"18,58";"3";"5"
"Braganey";"2021";"15,59";"4";"-"
"Brasilândia do Sul";"2021";"8,65";"4";"2"
"Cafeara";"2021";"16,08";"-";"-"
"Cafelândia";"2021";"68,29";"9";"14"
"Cafezal do Sul";"2021";"11,99";"2";"1"
"Califórnia";"2021";"61,03";"5";"6"
"Cambará";"2021";"68,83";"12";"24"
"Cambé";"2021";"217,23";"40";"177"
"Cambira";"2021";"48,77";"8";"10"
"Campina da Lagoa";"2021";"17,38";"20";"7"
"Campina do Simão";"2021";"8,51";"2";"-"
"Campina Grande do Sul";"2021";"81,29";"32";"104"
"Campo Bonito";"2021";"8,63";"-";"1"
"Campo do Tenente";"2021";"26,65";"5";"9"
"Campo Largo";"2021";"109,31";"67";"247"
"Campo Magro";"2021";"109,81";"23";"52"
"Campo Mourão";"2021";"128,72";"65";"137"
"Cândido de Abreu";"2021";"9,68";"9";"7"
"Candói";"2021";"10,68";"9";"10"
"Cantagalo";"2021";"22,88";"9";"8"
"Capanema";"2021";"45,99";"11";"4"
"Capitão Leônidas Marques";"2021";"57,15";"9";"4"
"Carambeí";"2021";"37,34";"15";"84"
"Carlópolis";"2021";"31,69";"12";"20"
"Cascavel";"2021";"161,08";"153";"567"
"Castro";"2021";"28,55";"32";"167"
"Catanduvas";"2021";"17,27";"6";"2"
"Centenário do Sul";"2021";"28,90";"9";"8"
"Cerro Azul";"2021";"13,24";"9";"17"
"Céu Azul";"2021";"10,09";"4";"17"
"Chopinzinho";"2021";"19,91";"21";"16"
"Cianorte";"2021";"104,82";"36";"65"
"Cidade Gaúcha";"2021";"32,09";"10";"9"
"Clevelândia";"2021";"23,28";"13";"16"
"Colombo";"2021";"1.262,95";"119";"867"
"Colorado";"2021";"59,38";"5";"11"
"Congonhinhas";"2021";"16,60";"12";"3"
"Conselheiro Mairinck";"2021";"19,03";"2";"3"
"Contenda";"2021";"64,51";"6";"20"
"Corbélia";"2021";"32,48";"14";"7"
"Cornélio Procópio";"2021";"75,26";"16";"33"
"Coronel Domingos Soares";"2021";"4,85";"9";"1"
"Coronel Vivida";"2021";"29,95";"12";"20"
"Corumbataí do Sul";"2021";"18,09";"1";"5"
"Cruz Machado";"2021";"12,71";"5";"3"
"Cruzeiro do Iguaçu";"2021";"26,41";"6";"1"
"Cruzeiro do Oeste";"2021";"27,03";"11";"40"
"Cruzeiro do Sul";"2021";"17,11";"3";"3"
"Cruzmaltina";"2021";"9,45";"2";"2"
"Curitiba";"2021";"4.515,65";"764";"9.317"
"Curiúva";"2021";"26,59";"10";"35"
"Diamante do Norte";"2021";"20,53";"-";"12"
"Diamante do Sul";"2021";"9,82";"2";"-"
"Diamante D'Oeste";"2021";"17,14";"2";"2"
"Dois Vizinhos";"2021";"98,76";"28";"21"
"Douradina";"2021";"21,34";"7";"-"
"Doutor Camargo";"2021";"50,76";"1";"6"
"Doutor Ulysses";"2021";"7,08";"2";"1"
"Enéas Marques";"2021";"30,39";"5";"1"
"Engenheiro Beltrão";"2021";"29,69";"6";"21"
"Entre Rios do Oeste";"2021";"38,72";"4";"1"
"Esperança Nova";"2021";"11,41";"-";"1"
"Espigão Alto do Iguaçu";"2021";"12,21";"5";"2"
"Farol";"2021";"10,35";"3";"6"
"Faxinal";"2021";"24,29";"14";"13"
"Fazenda Rio Grande";"2021";"888,45";"88";"443"
"Fênix";"2021";"20,24";"4";"2"
"Fernandes Pinheiro";"2021";"13,75";"2";"2"
"Figueira";"2021";"58,79";"9";"16"
"Flor da Serra do Sul";"2021";"18,38";"6";"2"
"Floraí";"2021";"25,73";"3";"10"
"Floresta";"2021";"42,85";"7";"7"
"Florestópolis";"2021";"41,97";"3";"18"
"Flórida";"2021";"32,32";"1";"3"
"Formosa do Oeste";"2021";"23,03";"4";"2"
"Foz do Iguaçu";"2021";"424,05";"145";"1.073"
"Foz do Jordão";"2021";"19,35";"8";"1"
"Francisco Alves";"2021";"18,57";"4";"5"
"Francisco Beltrão";"2021";"127,31";"48";"50"
"General Carneiro";"2021";"12,74";"7";"9"
"Godoy Moreira";"2021";"21,87";"5";"-"
"Goioerê";"2021";"50,89";"22";"54"
"Goioxim";"2021";"9,96";"3";"1"
"Grandes Rios";"2021";"17,43";"6";"3"
"Guaíra";"2021";"58,90";"18";"116"
"Guairaçá";"2021";"13,38";"2";"16"
"Guamiranga";"2021";"36,46";"3";"3"
"Guapirama";"2021";"19,99";"2";"2"
"Guaporema";"2021";"11,16";"1";"2"
"Guaraci";"2021";"26,20";"1";"2"
"Guaraniaçu";"2021";"9,67";"28";"9"
"Guarapuava";"2021";"58,09";"137";"231"
"Guaraqueçaba";"2021";"3,27";"7";"2"
"Guaratuba";"2021";"28,62";"41";"77"
"Honório Serpa";"2021";"10,00";"2";"-"
"Ibaiti";"2021";"35,44";"21";"28"
"Ibema";"2021";"42,51";"4";"3"
"Ibiporã";"2021";"186,56";"19";"84"
"Icaraíma";"2021";"11,05";"5";"1"
"Iguaraçu";"2021";"27,32";"1";"4"
"Iguatu";"2021";"20,98";"-";"-"
"Imbaú";"2021";"40,55";"9";"25"
"Imbituva";"2021";"43,79";"13";"22"
"Inácio Martins";"2021";"11,84";"5";"3"
"Inajá";"2021";"16,11";"3";"2"
"Indianópolis";"2021";"36,10";"3";"2"
"Ipiranga";"2021";"16,55";"8";"5"
"Iporã";"2021";"20,84";"9";"12"
"Iracema do Oeste";"2021";"27,06";"-";"3"
"Irati";"2021";"61,44";"23";"49"
"Iretama";"2021";"17,56";"4";"10"
"Itaguajé";"2021";"22,78";"1";"4"
"Itaipulândia";"2021";"35,24";"4";"4"
"Itambaracá";"2021";"31,42";"4";"8"
"Itambé";"2021";"25,03";"2";"3"
"Itapejara d'Oeste";"2021";"48,14";"8";"8"
"Itaperuçu";"2021";"91,35";"20";"35"
"Itaúna do Sul";"2021";"21,23";"2";"5"
"Ivaí";"2021";"23,35";"5";"2"
"Ivaiporã";"2021";"74,00";"17";"19"
"Ivaté";"2021";"20,16";"3";"3"
"Ivatuba";"2021";"34,75";"3";"1"
"Jaboti";"2021";"38,37";"5";"2"
"Jacarezinho";"2021";"65,20";"28";"48"
"Jaguapitã";"2021";"29,03";"12";"14"
"Jaguariaíva";"2021";"24,32";"28";"91"
"Jandaia do Sul";"2021";"112,58";"14";"30"
"Janiópolis";"2021";"14,60";"2";"8"
"Japira";"2021";"26,29";"2";"4"
"Japurá";"2021";"57,88";"2";"-"
"Jardim Alegre";"2021";"26,63";"6";"9"
"Jardim Olinda";"2021";"10,15";"-";"-"
"Jataizinho";"2021";"79,56";"5";"36"
"Jesuítas";"2021";"33,08";"2";"2"
"Joaquim Távora";"2021";"41,88";"1";"25"
"Jundiaí do Sul";"2021";"10,14";"4";"5"
